"island","year","burnarea_km2"
"Hawaii",1999,44.4375
"Hawaii",2000,22.6875
"Hawaii",2001,0
"Hawaii",2002,16
"Hawaii",2003,31.125
"Hawaii",2004,21.8125
"Hawaii",2005,138.875
"Hawaii",2006,14.875
"Hawaii",2007,69.875
"Hawaii",2008,14.25
"Hawaii",2009,10.9375
"Hawaii",2010,1.5625
"Hawaii",2011,11.75
"Hawaii",2012,19.625
"Hawaii",2013,5.0625
"Hawaii",2014,8
"Hawaii",2015,19.625
"Hawaii",2016,10.6875
"Hawaii",2017,18.9375
"Hawaii",2018,25.4375
"Hawaii",2019,1
"Kahoolawe",1999,0
"Kahoolawe",2000,0
"Kahoolawe",2001,0
"Kahoolawe",2002,0.5
"Kahoolawe",2003,20.375
"Kahoolawe",2004,0
"Kahoolawe",2005,0
"Kahoolawe",2006,0
"Kahoolawe",2007,0
"Kahoolawe",2008,0
"Kahoolawe",2009,0
"Kahoolawe",2010,0
"Kahoolawe",2011,0
"Kahoolawe",2012,0
"Kahoolawe",2013,0
"Kahoolawe",2014,0
"Kahoolawe",2015,0
"Kahoolawe",2016,0
"Kahoolawe",2017,0
"Kahoolawe",2018,0
"Kahoolawe",2019,0
"Lanai",1999,0
"Lanai",2000,0
"Lanai",2001,0
"Lanai",2002,0
"Lanai",2003,0
"Lanai",2004,0
"Lanai",2005,0
"Lanai",2006,0
"Lanai",2007,0
"Lanai",2008,0
"Lanai",2009,0
"Lanai",2010,0
"Lanai",2011,0
"Lanai",2012,0
"Lanai",2013,0
"Lanai",2014,0
"Lanai",2015,0
"Lanai",2016,0
"Lanai",2017,0
"Lanai",2018,0
"Lanai",2019,0
"Maui",1999,0.5625
"Maui",2000,0
"Maui",2001,0.8125
"Maui",2002,0.9375
"Maui",2003,12.25
"Maui",2004,0.5
"Maui",2005,1.375
"Maui",2006,30.3125
"Maui",2007,26.6875
"Maui",2008,1.875
"Maui",2009,0
"Maui",2010,22.5
"Maui",2011,0
"Maui",2012,0
"Maui",2013,0
"Maui",2014,0.9375
"Maui",2015,3
"Maui",2016,43.5625
"Maui",2017,2.375
"Maui",2018,16.5625
"Maui",2019,78.125
"Molokai",1999,0
"Molokai",2000,0
"Molokai",2001,0
"Molokai",2002,0
"Molokai",2003,18.6875
"Molokai",2004,0
"Molokai",2005,0
"Molokai",2006,0
"Molokai",2007,4.0625
"Molokai",2008,0.25
"Molokai",2009,34.1875
"Molokai",2010,0
"Molokai",2011,0
"Molokai",2012,0.5
"Molokai",2013,0
"Molokai",2014,0
"Molokai",2015,0
"Molokai",2016,0
"Molokai",2017,0
"Molokai",2018,0
"Molokai",2019,0
"Oahu",1999,0
"Oahu",2000,4.4375
"Oahu",2001,1.1875
"Oahu",2002,2
"Oahu",2003,17.375
"Oahu",2004,0
"Oahu",2005,19.6875
"Oahu",2006,3.6875
"Oahu",2007,18.6875
"Oahu",2008,0.125
"Oahu",2009,2.375
"Oahu",2010,0.8125
"Oahu",2011,0
"Oahu",2012,7.8125
"Oahu",2013,1.875
"Oahu",2014,1.4375
"Oahu",2015,3
"Oahu",2016,5.0625
"Oahu",2017,3.5
"Oahu",2018,21.125
"Oahu",2019,3.6875
"Kauai",1999,0
"Kauai",2000,0
"Kauai",2001,0.9375
"Kauai",2002,0
"Kauai",2003,0.4375
"Kauai",2004,0.1875
"Kauai",2005,0.9375
"Kauai",2006,0.375
"Kauai",2007,1
"Kauai",2008,0
"Kauai",2009,0.75
"Kauai",2010,0
"Kauai",2011,0
"Kauai",2012,11.5625
"Kauai",2013,0
"Kauai",2014,0
"Kauai",2015,3.125
"Kauai",2016,0.1875
"Kauai",2017,3.8125
"Kauai",2018,0
"Kauai",2019,10.375
