"island","start_year","end_year","ddev_km2y"
"Hawai'i",2010,2015,1.9977
"Hawai'i",2015,2020,1.72518809761104
"Hawai'i",2020,2025,1.86977390197452
"Hawai'i",2025,2030,1.86989540265046
"Hawai'i",2030,2035,1.8376977235275
"Hawai'i",2035,2040,1.7628533071511
"Hawai'i",2040,2045,1.79480798492219
"Kaho'olawe",2010,2015,0
"Kaho'olawe",2015,2020,0
"Kaho'olawe",2020,2025,0
"Kaho'olawe",2025,2030,0
"Kaho'olawe",2030,2035,0
"Kaho'olawe",2035,2040,0
"Kaho'olawe",2040,2045,0
"Kaua'i",2010,2015,0.7879
"Kaua'i",2015,2020,0.512373245845107
"Kaua'i",2020,2025,0.445418602423488
"Kaua'i",2025,2030,0.444378346664112
"Kaua'i",2030,2035,0.436340006705302
"Kaua'i",2035,2040,0.405794314861823
"Kaua'i",2040,2045,0.419979620671488
"Lana'i",2010,2015,0.0814
"Lana'i",2015,2020,0.0648888888888889
"Lana'i",2020,2025,0.0581296296296296
"Lana'i",2025,2030,0.057679012345679
"Lana'i",2030,2035,0.0558765432098765
"Lana'i",2035,2040,0.0511450617283951
"Lana'i",2040,2045,0.0515956790123457
"Maui",2010,2015,1.1399
"Maui",2015,2020,0.923386647637697
"Maui",2020,2025,0.827542674123367
"Maui",2025,2030,0.821332481455052
"Maui",2030,2035,0.79587069151496
"Maui",2035,2040,0.729490632104748
"Maui",2040,2045,0.733837766972568
"Moloka'i",2010,2015,0.1357
"Moloka'i",2015,2020,0.104310114209281
"Moloka'i",2020,2025,0.0935744418150015
"Moloka'i",2025,2030,0.0928490585451178
"Moloka'i",2030,2035,0.0899475254655829
"Moloka'i",2035,2040,0.0825486161127688
"Moloka'i",2040,2045,0.0828387694207223
"O'ahu",2010,2015,1.8844
"O'ahu",2015,2020,0.970884394719131
"O'ahu",2020,2025,1.0650699477277
"O'ahu",2025,2030,0.84441440347335
"O'ahu",2030,2035,0.59726210738846
"O'ahu",2035,2040,0.349657648303048
"O'ahu",2040,2045,0.263520596703758
